i t ke
946 13.9571 3.77631e-06
947 13.9714 3.77584e-06
948 13.9857 3.76975e-06
949 14 3.76340e-06
950 14.0143 3.75421e-06
951 14.0286 3.74379e-06
952 14.0429 3.73352e-06
953 14.0571 3.72735e-06
954 14.0714 3.72367e-06
955 14.0857 3.71886e-06
956 14.1 3.71421e-06
957 14.1143 3.70989e-06
958 14.1286 3.70387e-06
959 14.1429 3.69823e-06
960 14.1571 3.69402e-06
961 14.1714 3.69014e-06
962 14.1857 3.68680e-06
963 14.2 3.68689e-06
964 14.2143 3.67596e-06
965 14.2286 3.66206e-06
966 14.2429 3.65794e-06
967 14.2571 3.65353e-06
968 14.2714 3.64971e-06
969 14.2857 3.64581e-06
970 14.3 3.64236e-06
971 14.3143 3.63769e-06
972 14.3286 3.63198e-06
973 14.3429 3.62655e-06
974 14.3571 3.62292e-06
975 14.3714 3.62031e-06
976 14.3857 3.62050e-06
977 14.4 3.61900e-06
978 14.4143 3.61018e-06
979 14.4286 3.60375e-06
980 14.4429 3.59898e-06
981 14.4571 3.59286e-06
982 14.4714 3.58587e-06
983 14.4857 3.58264e-06
984 14.5 3.57718e-06
985 14.5143 3.57628e-06
986 14.5286 3.57190e-06
987 14.5429 3.56503e-06
988 14.5571 3.56185e-06
989 14.5714 3.55915e-06
990 14.5857 3.55460e-06
991 14.6 3.55020e-06
992 14.6143 3.54867e-06
993 14.6286 3.55435e-06
994 14.6429 3.55069e-06
995 14.6571 3.54268e-06
996 14.6714 3.53273e-06
997 14.6857 3.52651e-06
998 14.7 3.52694e-06
999 14.7143 3.52266e-06
1000 14.7286 3.51697e-06
1001 14.7429 3.51205e-06
1002 14.7571 3.51356e-06
1003 14.7714 3.51140e-06
1004 14.7857 3.50810e-06
1005 14.8 3.50204e-06
1006 14.8143 3.49954e-06
1007 14.8286 3.50136e-06
1008 14.8429 3.49901e-06
1009 14.8571 3.49465e-06
1010 14.8714 3.48587e-06
1011 14.8857 3.48160e-06
1012 14.9 3.48014e-06
1013 14.9143 3.47653e-06
1014 14.9286 3.47004e-06
1015 14.9429 3.46533e-06
1016 14.9571 3.45811e-06
1017 14.9714 3.45221e-06
1018 14.9857 3.44843e-06
1019 15 3.44430e-06
1020 15.0143 3.44115e-06
1021 15.0286 3.43438e-06
1022 15.0429 3.42934e-06
1023 15.0571 3.42630e-06
1024 15.0714 3.42611e-06
1025 15.0857 3.42592e-06
1026 15.1 3.42079e-06
1027 15.1143 3.41300e-06
1028 15.1286 3.40729e-06
1029 15.1429 3.40431e-06
1030 15.1571 3.40296e-06
1031 15.1714 3.40075e-06
1032 15.1857 3.40003e-06
1033 15.2 3.40114e-06
1034 15.2143 3.40055e-06
1035 15.2286 3.39774e-06
1036 15.2429 3.39433e-06
1037 15.2571 3.38855e-06
1038 15.2714 3.38018e-06
1039 15.2857 3.37499e-06
1040 15.3 3.37279e-06
1041 15.3143 3.37037e-06
1042 15.3286 3.37222e-06
1043 15.3429 3.37386e-06
1044 15.3571 3.37561e-06
1045 15.3714 3.37142e-06
1046 15.3857 3.36868e-06
1047 15.4 3.36614e-06
1048 15.4143 3.35994e-06
1049 15.4286 3.35427e-06
1050 15.4429 3.34961e-06
1051 15.4571 3.34583e-06
1052 15.4714 3.34175e-06
1053 15.4857 3.33888e-06
1054 15.5 3.33673e-06
1055 15.5143 3.33124e-06
1056 15.5286 3.32619e-06
1057 15.5429 3.32002e-06
1058 15.5571 3.31830e-06
1059 15.5714 3.31771e-06
1060 15.5857 3.30926e-06
1061 15.6 3.30071e-06
1062 15.6143 3.29908e-06
1063 15.6286 3.29664e-06
1064 15.6429 3.29918e-06
1065 15.6571 3.29827e-06
1066 15.6714 3.29619e-06
1067 15.6857 3.29059e-06
1068 15.7 3.28480e-06
1069 15.7143 3.28174e-06
1070 15.7286 3.27869e-06
1071 15.7429 3.27767e-06
1072 15.7571 3.27800e-06
1073 15.7714 3.27785e-06
1074 15.7857 3.27915e-06
1075 15.8 3.27798e-06
1076 15.8143 3.27296e-06
1077 15.8286 3.27298e-06
1078 15.8429 3.27387e-06
1079 15.8571 3.27066e-06
1080 15.8714 3.26978e-06
1081 15.8857 3.26948e-06
1082 15.9 3.27518e-06
1083 15.9143 3.27353e-06
1084 15.9286 3.48912e-06
1085 15.9429 3.37321e-06
1086 15.9571 3.27346e-06
1087 15.9714 3.27444e-06
1088 15.9857 3.26710e-06
1089 16 3.26188e-06
1090 16.0143 3.25930e-06
1091 16.0286 3.26452e-06
1092 16.0429 3.26542e-06
1093 16.0571 3.26290e-06
1094 16.0714 3.25547e-06
1095 16.0857 3.24908e-06
1096 16.1 3.24379e-06
1097 16.1143 3.23911e-06
1098 16.1286 3.24303e-06
1099 16.1429 3.24151e-06
1100 16.1571 3.23699e-06
1101 16.1714 3.23010e-06
1102 16.1857 3.22318e-06
1103 16.2 3.22119e-06
1104 16.2143 3.21819e-06
1105 16.2286 3.21903e-06
1106 16.2429 3.21855e-06
1107 16.2571 3.21216e-06
1108 16.2714 3.21240e-06
1109 16.2857 3.21292e-06
1110 16.3 3.21500e-06
1111 16.3143 3.20966e-06
1112 16.3286 3.20386e-06
1113 16.3429 3.20154e-06
1114 16.3571 3.20072e-06
1115 16.3714 3.20074e-06
1116 16.3857 3.20453e-06
1117 16.4 3.20621e-06
1118 16.4143 3.20138e-06
1119 16.4286 3.19478e-06
1120 16.4429 3.18546e-06
1121 16.4571 3.18085e-06
1122 16.4714 3.18001e-06
1123 16.4857 3.18075e-06
1124 16.5 3.18437e-06
1125 16.5143 3.18971e-06
1126 16.5286 3.19649e-06
1127 16.5429 3.19799e-06
1128 16.5571 3.19845e-06
1129 16.5714 3.19364e-06
1130 16.5857 3.19244e-06
1131 16.6 3.19071e-06
1132 16.6143 3.19013e-06
1133 16.6286 3.18557e-06
1134 16.6429 3.18346e-06
1135 16.6571 3.18512e-06
1136 16.6714 3.18333e-06
1137 16.6857 3.18034e-06
1138 16.7 3.17488e-06
1139 16.7143 3.17941e-06
1140 16.7286 3.17928e-06
1141 16.7429 3.17249e-06
1142 16.7571 3.16171e-06
1143 16.7714 3.15785e-06
1144 16.7857 3.15735e-06
1145 16.8 3.15722e-06
1146 16.8143 3.15914e-06
1147 16.8286 3.16136e-06
1148 16.8429 3.16125e-06
1149 16.8571 3.16273e-06
1150 16.8714 3.16394e-06
1151 16.8857 3.15522e-06
1152 16.9 3.14451e-06
1153 16.9143 3.14313e-06
1154 16.9286 3.14237e-06
1155 16.9429 3.13969e-06
1156 16.9571 3.14043e-06
1157 16.9714 3.13974e-06
1158 16.9857 3.13988e-06
1159 17 3.14117e-06
1160 17.0143 3.14092e-06
1161 17.0286 3.13904e-06
1162 17.0429 3.13995e-06
1163 17.0571 3.14085e-06
1164 17.0714 3.14104e-06
1165 17.0857 3.14332e-06
1166 17.1 3.14863e-06
1167 17.1143 3.14928e-06
1168 17.1286 3.14533e-06
1169 17.1429 3.13488e-06
1170 17.1571 3.12804e-06
1171 17.1714 3.12257e-06
1172 17.1857 3.11850e-06
1173 17.2 3.12062e-06
1174 17.2143 3.12298e-06
1175 17.2286 3.12273e-06
1176 17.2429 3.11987e-06
1177 17.2571 3.11903e-06
1178 17.2714 3.11709e-06
1179 17.281 3.08606e-06
1180 17.2905 3.06287e-06
1181 17.3 3.04436e-06
1182 17.3125 3.04197e-06
1183 17.325 3.04116e-06
1184 17.3375 3.03661e-06
1185 17.35 3.03259e-06
1186 17.3625 3.03058e-06
1187 17.375 3.02614e-06
1188 17.3875 3.02315e-06
1189 17.4 3.01900e-06
1190 17.4125 3.01593e-06
1191 17.425 3.00997e-06
1192 17.4375 3.00372e-06
1193 17.45 2.99923e-06
1194 17.4625 2.99627e-06
1195 17.475 2.99042e-06
1196 17.4875 2.98312e-06
1197 17.5 2.97938e-06
1198 17.5125 2.97475e-06
1199 17.525 2.97293e-06
1200 17.5375 2.97053e-06
1201 17.55 2.96768e-06
1202 17.5625 2.96399e-06
1203 17.575 2.95878e-06
1204 17.5875 2.95391e-06
1205 17.6 2.95161e-06
1206 17.6125 2.95015e-06
1207 17.625 2.94423e-06
1208 17.6375 2.93969e-06
1209 17.65 2.93544e-06
1210 17.6625 2.93232e-06
1211 17.675 2.93169e-06
1212 17.6875 2.92899e-06
1213 17.7 2.92584e-06
1214 17.7125 2.92189e-06
1215 17.725 2.91804e-06
1216 17.7375 2.91279e-06
1217 17.75 2.90724e-06
1218 17.7625 2.90074e-06
1219 17.775 2.89778e-06
1220 17.7875 2.89688e-06
1221 17.8 2.89500e-06
1222 17.8125 2.89448e-06
1223 17.825 2.89308e-06
1224 17.8375 2.89899e-06
1225 17.85 2.89501e-06
1226 17.8625 2.89427e-06
1227 17.875 2.88911e-06
1228 17.8875 2.89603e-06
1229 17.9 2.89499e-06
1230 17.9125 2.89438e-06
1231 17.925 2.89556e-06
1232 17.9375 2.89312e-06
1233 17.95 2.89593e-06
1234 17.9625 2.89672e-06
1235 17.975 2.89462e-06
1236 17.9875 2.89267e-06
1237 18 2.88793e-06
1238 18.0125 2.88259e-06
1239 18.025 2.88202e-06
1240 18.0375 2.87975e-06
1241 18.05 2.87656e-06
1242 18.0625 2.87672e-06
1243 18.075 2.87720e-06
1244 18.0875 2.87242e-06
1245 18.1 2.87424e-06
1246 18.1125 2.86681e-06
1247 18.125 2.86718e-06
1248 18.1375 2.86000e-06
1249 18.15 2.85899e-06
1250 18.1625 2.86078e-06
1251 18.175 2.85871e-06
1252 18.1875 2.85900e-06
1253 18.2 2.84848e-06
1254 18.2125 2.84635e-06
1255 18.225 2.83805e-06
1256 18.2375 2.83742e-06
1257 18.25 2.83727e-06
1258 18.2625 2.83753e-06
1259 18.275 2.84142e-06
1260 18.2875 2.83832e-06
1261 18.3 2.83751e-06
1262 18.3125 2.83692e-06
1263 18.325 2.82861e-06
1264 18.3375 2.82524e-06
1265 18.35 2.82922e-06
1266 18.3625 2.82775e-06
1267 18.375 2.83091e-06
1268 18.3875 2.82703e-06
1269 18.4 2.82362e-06
1270 18.4125 2.82369e-06
1271 18.425 2.81930e-06
1272 18.4375 2.81325e-06
1273 18.45 2.81243e-06
1274 18.4625 2.81557e-06
1275 18.475 2.81720e-06
1276 18.4875 2.81764e-06
1277 18.5 2.80915e-06
1278 18.5125 2.80002e-06
1279 18.525 2.80218e-06
1280 18.5375 2.80359e-06
1281 18.55 2.81113e-06
1282 18.5625 2.81221e-06
1283 18.575 2.81057e-06
1284 18.5875 2.81153e-06
1285 18.6 2.80523e-06
1286 18.6125 2.80100e-06
1287 18.625 2.80368e-06
1288 18.6375 2.80146e-06
1289 18.65 2.80281e-06
1290 18.6625 2.79783e-06
1291 18.675 2.79703e-06
1292 18.6875 2.80170e-06
1293 18.7 2.79967e-06
1294 18.7125 2.80306e-06
1295 18.725 2.79330e-06
1296 18.7375 2.78678e-06
1297 18.75 2.78825e-06
1298 18.7625 2.78305e-06
1299 18.775 2.78358e-06
1300 18.7875 2.78400e-06
1301 18.8 2.78823e-06
1302 18.8125 2.78441e-06
1303 18.825 2.78151e-06
1304 18.8375 2.78227e-06
1305 18.85 2.78058e-06
1306 18.8625 2.78573e-06
1307 18.875 2.77412e-06
1308 18.8875 2.77095e-06
1309 18.9 2.77087e-06
1310 18.9125 2.76921e-06
1311 18.925 2.77478e-06
1312 18.9375 2.76876e-06
1313 18.95 2.79175e-06
1314 18.9625 2.77500e-06
1315 18.975 2.78455e-06
1316 18.9875 2.76857e-06
1317 19 2.76525e-06
1318 19.0125 2.75685e-06
1319 19.025 2.75636e-06
1320 19.0375 2.74903e-06
1321 19.05 2.74367e-06
1322 19.0625 2.75355e-06
1323 19.075 2.74447e-06
1324 19.0875 2.75420e-06
1325 19.1 2.74569e-06
1326 19.1125 2.76757e-06
1327 19.125 2.74975e-06
1328 19.1375 2.76436e-06
1329 19.15 2.74881e-06
1330 19.1625 2.74590e-06
1331 19.175 2.73729e-06
1332 19.1875 2.73818e-06
1333 19.2 2.72884e-06
1334 19.2125 2.73533e-06
1335 19.225 2.72024e-06
1336 19.2375 2.73683e-06
1337 19.25 2.72671e-06
1338 19.2625 2.75329e-06
1339 19.275 2.73658e-06
1340 19.2875 2.74793e-06
1341 19.3 2.73055e-06
1342 19.3125 2.72772e-06
1343 19.325 2.72021e-06
1344 19.3375 2.72215e-06
1345 19.35 2.71416e-06
1346 19.3625 2.72428e-06
1347 19.375 2.71960e-06
1348 19.3875 2.72044e-06
1349 19.4 2.72730e-06
1350 19.4125 2.72554e-06
1351 19.425 2.72513e-06
1352 19.4375 2.73168e-06
1353 19.45 2.75087e-06
1354 19.4625 2.74255e-06
1355 19.475 2.75952e-06
1356 19.4875 2.74109e-06
1357 19.5 2.72682e-06
1358 19.5125 2.72245e-06
1359 19.525 2.71728e-06
1360 19.5375 2.72232e-06
1361 19.55 2.71981e-06
1362 19.5625 2.72698e-06
1363 19.575 2.72693e-06
1364 19.5875 2.73024e-06
1365 19.6 2.75185e-06
1366 19.6125 2.74850e-06
1367 19.625 2.76860e-06
1368 19.6375 2.74566e-06
1369 19.65 2.73183e-06
1370 19.6625 2.72656e-06
1371 19.675 2.72275e-06
1372 19.6875 2.72663e-06
1373 19.7 2.75005e-06
1374 19.7125 2.72883e-06
1375 19.725 2.74101e-06
1376 19.7375 2.72685e-06
1377 19.75 2.71827e-06
1378 19.7625 2.71294e-06
1379 19.775 2.71669e-06
1380 19.7875 2.72104e-06
1381 19.8 2.72389e-06
1382 19.8125 2.72038e-06
1383 19.825 2.74359e-06
1384 19.8375 2.73339e-06
1385 19.85 2.74461e-06
1386 19.8625 2.72833e-06
1387 19.875 2.71924e-06
1388 19.8875 2.71522e-06
1389 19.9 2.71703e-06
1390 19.9125 2.72585e-06
1391 19.925 2.72430e-06
1392 19.9375 2.72118e-06
1393 19.95 2.74447e-06
1394 19.9625 2.74295e-06
1395 19.975 2.75388e-06
1396 19.9875 2.73319e-06
1397 20 2.72929e-06
1398 20.0125 2.72087e-06
1399 20.025 2.73037e-06
1400 20.0375 2.72346e-06
1401 20.05 2.72295e-06
1402 20.0625 2.75711e-06
1403 20.075 2.74196e-06
1404 20.0875 2.75254e-06
1405 20.1 2.73005e-06
1406 20.1125 2.72219e-06
1407 20.125 2.72194e-06
1408 20.1375 2.71758e-06
1409 20.15 2.72437e-06
1410 20.1625 2.75140e-06
1411 20.175 2.72784e-06
1412 20.1875 2.68649e-06
1413 20.2 2.64098e-06
1414 20.2125 2.61115e-06
1415 20.225 2.59967e-06
1416 20.2375 2.58277e-06
1417 20.25 2.57232e-06
1418 20.2625 2.57294e-06
1419 20.275 2.57786e-06
1420 20.2875 2.52707e-06
1421 20.3 2.52376e-06
1422 20.3125 2.49438e-06
1423 20.325 2.47185e-06
1424 20.3375 2.44676e-06
1425 20.35 2.43189e-06
1426 20.3625 2.41412e-06
1427 20.375 2.42327e-06
1428 20.3875 2.38932e-06
1429 20.4 2.37771e-06
1430 20.4125 2.36403e-06
1431 20.425 2.37829e-06
1432 20.4375 2.34107e-06
1433 20.45 2.34775e-06
1434 20.4625 2.31129e-06
1435 20.475 2.29941e-06
1436 20.4875 2.28926e-06
1437 20.5 2.28479e-06
1438 20.5125 2.27198e-06
1439 20.525 2.28239e-06
1440 20.5375 2.26111e-06
1441 20.55 2.26325e-06
1442 20.5625 2.26420e-06
1443 20.575 2.29212e-06
1444 20.5875 2.25225e-06
1445 20.6 2.26859e-06
1446 20.6125 2.24016e-06
1447 20.625 2.24103e-06
1448 20.6375 2.23210e-06
1449 20.65 2.23161e-06
1450 20.6625 2.23145e-06
1451 20.675 2.22444e-06
1452 20.6875 2.24576e-06
1453 20.7 2.27010e-06
1454 20.7125 3.06163e-04
1455 20.725 1.64511e-04
1456 20.7375 3.87621e-05
1457 20.75 2.37433e-05
1458 20.7625 1.85111e-05
1459 20.775 1.57301e-05
1460 20.7875 1.26996e-05
1461 20.8 1.07106e-05
1462 20.8125 9.08425e-06
1463 20.825 7.85755e-06
1464 20.8375 6.84763e-06
1465 20.85 6.06803e-06
1466 20.8625 5.41450e-06
1467 20.875 4.88125e-06
1468 20.8875 4.45808e-06
1469 20.9 4.11614e-06
1470 20.9125 3.85432e-06
1471 20.925 3.62928e-06
1472 20.9375 3.43174e-06
1473 20.95 3.24885e-06
1474 20.9625 3.10351e-06
1475 20.975 2.98331e-06
1476 20.9875 6.32073e-05
1477 21 2.67443e-04
1478 21.0125 4.48120e-05
1479 21.025 2.31243e-05
1480 21.0375 1.77821e-05
1481 21.05 1.58492e-05
1482 21.0625 1.30753e-05
1483 21.075 1.13711e-05
1484 21.0875 9.89450e-06
1485 21.1 8.74221e-06
1486 21.1125 7.78976e-06
1487 21.125 7.01418e-06
1488 21.1375 6.36307e-06
1489 21.15 5.80979e-06
1490 21.1625 5.35212e-06
1491 21.175 4.96120e-06
1492 21.1875 4.64501e-06
1493 21.2 4.37747e-06
1494 21.2125 4.12272e-06
1495 21.225 3.96069e-06
1496 21.2375 1.24351e-04
1497 21.25 2.31763e-04
1498 21.2625 4.49118e-05
1499 21.275 2.54455e-05
1500 21.2875 2.02802e-05
1501 21.3 1.80640e-05
1502 21.3125 1.51183e-05
1503 21.325 1.32708e-05
1504 21.3375 1.16877e-05
1505 21.35 1.04117e-05
1506 21.3625 9.32446e-06
1507 21.375 8.44357e-06
1508 21.3875 7.71015e-06
1509 21.4 7.09759e-06
1510 21.4125 6.57129e-06
1511 21.425 6.12364e-06
1512 21.4375 5.73056e-06
1513 21.45 5.44599e-06
1514 21.4625 2.51687e-04
1515 21.475 1.86230e-04
1516 21.4875 4.46210e-05
1517 21.5 2.95499e-05
1518 21.5125 2.43117e-05
1519 21.525 2.15199e-05
1520 21.5375 1.83161e-05
1521 21.55 1.61846e-05
1522 21.5625 1.43765e-05
1523 21.575 1.28988e-05
1524 21.5875 1.16565e-05
1525 21.6 1.06438e-05
1526 21.6125 9.77199e-06
1527 21.625 9.03073e-06
1528 21.6375 8.39345e-06
1529 21.65 7.86350e-06
1530 21.6625 7.38592e-06
1531 21.675 6.97839e-06
1532 21.6875 3.69053e-04
1533 21.7 1.59696e-04
1534 21.7125 4.64415e-05
1535 21.725 3.28466e-05
1536 21.7375 2.75838e-05
1537 21.75 2.44504e-05
1538 21.7625 2.10754e-05
1539 21.775 1.87516e-05
1540 21.7875 1.67869e-05
1541 21.8 1.51924e-05
1542 21.8125 1.38248e-05
1543 21.825 1.26769e-05
1544 21.8375 1.17209e-05
1545 21.85 1.08912e-05
1546 21.8625 1.01856e-05
1547 21.875 9.57310e-06
1548 21.8875 9.03811e-06
1549 21.9 8.56406e-06
1550 21.9125 3.72991e-04
1551 21.925 5.39373e-05
1552 21.9375 2.70891e-05
1553 21.95 2.23979e-05
1554 21.9625 2.05044e-05
1555 21.975 1.79759e-05
1556 21.9875 1.62661e-05
1557 22 1.48087e-05
1558 22.0125 1.36546e-05
1559 22.025 1.26216e-05
1560 22.0375 1.17353e-05
1561 22.05 1.09785e-05
1562 22.0625 1.03117e-05
1563 22.075 9.73858e-06
1564 22.0875 3.74459e-04
1565 22.1 5.53655e-05
1566 22.1125 2.87614e-05
1567 22.125 2.39552e-05
1568 22.1375 2.19209e-05
1569 22.15 1.92716e-05
1570 22.1625 1.74981e-05
1571 22.175 1.59646e-05
1572 22.1875 1.47207e-05
1573 22.2 1.36377e-05
1574 22.2125 1.27084e-05
1575 22.225 1.19113e-05
1576 22.2375 1.12083e-05
1577 22.25 1.05945e-05
1578 22.2625 3.76019e-04
1579 22.275 5.62345e-05
1580 22.2875 2.97290e-05
1581 22.3 2.48591e-05
1582 22.3125 2.28098e-05
1583 22.325 2.01910e-05
1584 22.3375 1.83627e-05
1585 22.35 1.68147e-05
1586 22.3625 1.55392e-05
1587 22.375 1.44394e-05
1588 22.3875 1.35166e-05
1589 22.4 1.26986e-05
1590 22.4125 1.19622e-05
1591 22.425 1.13329e-05
1592 22.4375 1.07967e-05
1593 22.45 1.03099e-05
1594 22.4625 9.87488e-06
1595 22.475 9.47233e-06
1596 22.4875 9.11168e-06
1597 22.5 8.78479e-06
1598 22.5125 8.48156e-06
1599 22.525 8.19648e-06
1600 22.5375 7.93537e-06
1601 22.55 7.69243e-06
1602 22.5625 7.47103e-06
1603 22.575 7.27798e-06
1604 22.5875 7.07418e-06
1605 22.6 6.86673e-06
1606 22.6125 6.68381e-06
1607 22.625 6.51601e-06
1608 22.6375 6.35723e-06
1609 22.65 6.20591e-06
1610 22.6625 6.05618e-06
1611 22.675 5.91847e-06
1612 22.6875 5.85650e-06
1613 22.7 5.72219e-06
1614 22.7125 5.58542e-06
1615 22.725 5.44743e-06
1616 22.7375 5.37917e-06
1617 22.75 5.30108e-06
1618 22.7625 5.22164e-06
1619 22.775 5.13558e-06
1620 22.7875 5.04829e-06
1621 22.8 4.95983e-06
1622 22.8125 4.87560e-06
1623 22.825 4.79138e-06
1624 22.8375 4.71153e-06
1625 22.85 4.63699e-06
1626 22.8625 4.56074e-06
1627 22.875 4.47977e-06
1628 22.8875 4.40312e-06
1629 22.9 4.32395e-06
1630 22.9125 4.25222e-06
1631 22.925 4.18369e-06
1632 22.9375 4.11616e-06
1633 22.95 4.05218e-06
1634 22.9625 3.98947e-06
1635 22.975 3.92617e-06
1636 22.9875 3.86571e-06
1637 23 3.80254e-06
1638 23.0125 3.73986e-06
1639 23.025 3.68479e-06
1640 23.0375 3.62754e-06
1641 23.05 3.57281e-06
1642 23.0625 3.52253e-06
1643 23.075 3.47116e-06
1644 23.0875 3.41930e-06
1645 23.1 3.36971e-06
1646 23.1125 3.32354e-06
1647 23.125 3.27969e-06
1648 23.1375 3.22733e-06
1649 23.15 3.18000e-06
1650 23.1625 3.13487e-06
1651 23.175 3.09115e-06
1652 23.1875 3.04874e-06
1653 23.2 3.00630e-06
1654 23.2125 2.96385e-06
1655 23.225 2.92448e-06
1656 23.2375 2.88837e-06
1657 23.25 2.84888e-06
1658 23.2625 2.80918e-06
1659 23.275 2.77203e-06
1660 23.2875 2.73600e-06
1661 23.3 2.70409e-06
1662 23.3125 2.67388e-06
1663 23.325 2.64134e-06
1664 23.3375 2.60876e-06
1665 23.35 2.57461e-06
1666 23.3625 2.54257e-06
1667 23.375 2.50982e-06
1668 23.3875 2.47862e-06
1669 23.4 2.45173e-06
1670 23.4125 2.42852e-06
1671 23.425 2.40222e-06
1672 23.4375 2.37228e-06
1673 23.45 2.34414e-06
1674 23.4625 2.32339e-06
1675 23.475 2.30582e-06
1676 23.4875 2.27799e-06
1677 23.5 2.24645e-06
1678 23.5125 2.21951e-06
1679 23.525 2.19334e-06
1680 23.5375 2.17087e-06
1681 23.55 2.14711e-06
1682 23.5625 2.12595e-06
1683 23.575 2.10639e-06
1684 23.5875 2.08210e-06
1685 23.6 2.06008e-06
1686 23.6125 2.04184e-06
1687 23.625 2.02649e-06
1688 23.6375 2.01179e-06
1689 23.65 1.98630e-06
1690 23.6625 1.96526e-06
1691 23.675 1.94478e-06
1692 23.6875 1.92612e-06
1693 23.7 1.91089e-06
1694 23.7125 1.89827e-06
1695 23.725 1.88224e-06
1696 23.7375 1.86333e-06
1697 23.75 1.84629e-06
1698 23.7625 1.82985e-06
1699 23.775 1.81570e-06
1700 23.7875 1.80337e-06
1701 23.8 1.78984e-06
1702 23.8125 1.77435e-06
1703 23.825 1.75700e-06
1704 23.8375 1.73831e-06
1705 23.85 1.72619e-06
1706 23.8625 1.71162e-06
1707 23.875 1.69860e-06
1708 23.8875 1.68665e-06
1709 23.9 1.67594e-06
1710 23.9125 1.66305e-06
1711 23.925 1.65056e-06
1712 23.9375 1.63935e-06
1713 23.95 1.62645e-06
1714 23.9625 1.61521e-06
1715 23.975 1.60214e-06
1716 23.9875 1.58985e-06
1717 24 1.57782e-06
1718 24.0125 1.57159e-06
1719 24.025 1.56223e-06
1720 24.0375 1.55125e-06
1721 24.05 1.54109e-06
1722 24.0625 1.53337e-06
1723 24.075 1.52061e-06
1724 24.0875 1.51148e-06
1725 24.1 1.50194e-06
1726 24.1125 1.49459e-06
1727 24.125 1.48685e-06
1728 24.1375 1.47928e-06
1729 24.15 1.46870e-06
1730 24.1625 1.45971e-06
1731 24.175 1.45137e-06
1732 24.1875 1.44523e-06
1733 24.2 1.43398e-06
1734 24.2125 1.42699e-06
1735 24.225 1.41897e-06
1736 24.2375 1.40853e-06
1737 24.25 1.40019e-06
1738 24.2625 1.39356e-06
1739 24.275 1.38563e-06
1740 24.2875 1.37886e-06
1741 24.3 1.37158e-06
1742 24.3125 1.36194e-06
1743 24.325 1.35675e-06
1744 24.3375 1.35012e-06
1745 24.35 1.34308e-06
1746 24.3625 1.33764e-06
1747 24.375 1.33096e-06
1748 24.3875 1.32372e-06
1749 24.4 1.32095e-06
1750 24.4125 1.31691e-06
1751 24.425 1.31045e-06
1752 24.4375 1.30547e-06
1753 24.45 1.30104e-06
1754 24.4625 1.29595e-06
1755 24.475 1.29394e-06
1756 24.4875 1.28977e-06
1757 24.5 1.28242e-06
1758 24.5125 1.27577e-06
1759 24.525 1.27225e-06
1760 24.5375 1.26654e-06
1761 24.55 1.25964e-06
1762 24.5625 1.25478e-06
1763 24.575 1.24677e-06
1764 24.5875 1.24055e-06
1765 24.6 1.23347e-06
1766 24.6125 1.22888e-06
1767 24.625 1.22424e-06
1768 24.6375 1.22363e-06
1769 24.65 1.22131e-06
1770 24.6625 1.21568e-06
1771 24.675 1.21273e-06
1772 24.6875 1.21071e-06
1773 24.7 1.20613e-06
1774 24.7125 1.20264e-06
1775 24.725 1.20376e-06
1776 24.7375 1.20274e-06
1777 24.75 1.19660e-06
1778 24.7625 1.19277e-06
1779 24.775 1.18556e-06
1780 24.7875 1.17998e-06
1781 24.8 1.17472e-06
1782 24.8125 1.16941e-06
1783 24.825 1.16616e-06
1784 24.8375 1.16531e-06
1785 24.85 1.16588e-06
1786 24.8625 1.16506e-06
1787 24.875 1.16006e-06
1788 24.8875 1.15650e-06
1789 24.9 1.15478e-06
